Date,Confirmed,Deaths
2021-01-01,177852,2282
2021-01-02,448991,4893
2021-01-03,651899,6353
2021-01-04,836592,8290
2021-01-05,1068638,11897
2021-01-06,1327748,15799
2021-01-07,1613406,19784
2021-01-08,1914922,23949
2021-01-09,2178748,27169
2021-01-10,2388768,29270
2021-01-11,2592134,31120
2021-01-12,2812550,35448
2021-01-13,3041477,39387
2021-01-14,3276645,43166
2021-01-15,3520082,46991
2021-01-16,3736805,50590
2021-01-17,3912179,52638
2021-01-18,4052266,54244
2021-01-19,4208437,56697
2021-01-20,4395507,61096
2021-01-21,4587620,65178
2021-01-22,4778508,68916
2021-01-23,4955714,72477
2021-01-24,5094677,74364
2021-01-25,5223490,76086
2021-01-26,5373795,79937
2021-01-27,5528909,83918
2021-01-28,5695091,87693
2021-01-29,5858095,91269
2021-01-30,6008335,94072
2021-01-31,6120765,95987
2021-02-01,6245300,97701
2021-02-02,6362030,101120
2021-02-03,6486057,104884
2021-02-04,6610595,108645
2021-02-05,6741335,112160
2021-02-06,6857644,114888
2021-02-07,6946431,116366
2021-02-08,7028772,117740
2021-02-09,7123746,120743
2021-02-10,7218850,124052
2021-02-11,7325263,127163
2021-02-12,7425416,129946
2021-02-13,7515659,132236
2021-02-14,7583531,133394
2021-02-15,7638658,134361
2021-02-16,7697268,136005
2021-02-17,7765934,138418
2021-02-18,7838313,140945
2021-02-19,7913166,143490
2021-02-20,7986642,145371
2021-02-21,8041555,146575
2021-02-22,8096736,147784
2021-02-23,8170288,150029
2021-02-24,8245135,153181
2021-02-25,8322122,155556
2021-02-26,8397134,157647
2021-02-27,8468034,159155
2021-02-28,8519424,160237
2021-03-01,8569490,161561
2021-03-02,8627620,163483
2021-03-03,8694586,165999
2021-03-04,8763211,167895
2021-03-05,8830772,169601
2021-03-06,8891379,171122
2021-03-07,8932843,171844
2021-03-08,8976764,172567
2021-03-09,9031314,174315
2021-03-10,9088866,175864
2021-03-11,9150177,177407
2021-03-12,9212451,178830
2021-03-13,9268885,179829
2021-03-14,9307884,180359
2021-03-15,9358580,181057
2021-03-16,9412471,182311
2021-03-17,9471556,183513
